SQZ Biotech,SQZ Biotech Inc.,SQZ
Synlogic,Synlogic Inc.,SYBX
DoorDash,DoorDash Inc.,DASH
Elastic,Elastic Inc.,ESTC
Codexis,Codexis Inc.,CDXS
Western Digital,Western Digital Inc.,WDC
Natera,Natera Inc.,NTRA
Homepoint,Homepoint Inc.,
Cisco,Cisco Inc.,CSCO
SimilarWeb,SimilarWeb Inc.,SMWB
UiPath,UiPath Inc.,PATH
Asana,Asana Inc.,ASAN
Rubicon Technologies,Rubicon Technologies Inc.,RBCN
Illumina,Illumina Inc.,ILMN
Sema4,Sema4 Inc.,SMFR
Science 37 ,Science 37  Inc.,SNCE
Cardlytics,Cardlytics Inc.,CDLX
Tricida,Tricida Inc.,TCDAQ
Offerpad,Offerpad Inc.,OPAD
Root Insurance,Root Insurance Inc.,ROOT
Coursera,Coursera Inc.,COUR
EverBridge,EverBridge Inc.,EVBG
Astra,Astra Inc.,ASTR
NanoString,NanoString Inc.,NSTG
Varonis,Varonis Inc.,VRNS
Lyft,Lyft Inc.,LYFT
LiveRamp,LiveRamp Inc.,RAMP
Rubius,Rubius Inc.,RUBY
MindBody,MindBody Inc.,
Zillow,Zillow Inc.,ZUO
F5,F5 Inc.,FFIV
Volta,Volta Inc.,VLTA
Beyond Meat,Beyond Meat Inc.,BYND
HelloFresh,HelloFresh Inc.,HLFFF
BioMarin,BioMarin Inc.,BMRN
Peloton,Peloton Inc.,PTON
Ouster,Ouster Inc.,OUST
LivePerson,LivePerson Inc.,LPSN
Netflix,Netflix Inc.,NFLX
Taboola,Taboola Inc.,TBLA
Rent the Runway,Rent the Runway Inc.,RENT
BigBear.ai,BigBear.ai Inc.,BBAI
Snap,Snap Inc.,SNAP
GoodRx,GoodRx Inc.,GDRX
Hippo Insurance,Hippo Insurance Inc.,HIPO
Skillz,Skillz Inc.,SKLZ
New Relic,New Relic Inc.,NEWR
ContraFect,ContraFect Inc.,CFRX
ThredUp,ThredUp Inc.,TDUP
Core Scientific,Core Scientific Inc.,CORZQ
Guidewire,Guidewire Inc.,GWRE
GoHealth,GoHealth Inc.,GOCO
Nutanix,Nutanix Inc.,NTNX
Quanterix,Quanterix Inc.,QTRX
Absci,Absci Inc.,ABSI
Berkeley Lights,Berkeley Lights Inc.,BLI
Sweetgreen,Sweetgreen Inc.,SG
Warby Parker,Warby Parker Inc.,WRBY
10X Genomics,10X Genomics Inc.,TXG
Robinhood,Robinhood Inc.,HOOD
Latch,Latch Inc.,LTCH
FuboTV,FuboTV Inc.,FUBO
Allbirds,Allbirds Inc.,BIRD
2U,2U Inc.,TWOU
Outbrain,Outbrain Inc.,OB
Pear Therapeutics ,Pear Therapeutics  Inc.,PEAR
Owlet,Owlet Inc.,OWLT
Invitae,Invitae Inc.,NVTA
Canoo,Canoo Inc.,GOEV
Enjoy,Enjoy Inc.,
AppLovin,AppLovin Inc.,APP
IronNet,IronNet Inc.,IRNT
Bird,Bird Inc.,BRDS
Tesla,Tesla Inc.,TSLA
Lemonade,Lemonade Inc.,LMND
Talis Biomedical,Talis Biomedical Inc.,TLIS
Sezzle,Sezzle Inc.,SEZNL
Adaptive Biotechnologies,Adaptive Biotechnologies Inc.,ADPT
Zymergen,Zymergen Inc.,ZY
Casper,Casper Inc.,CSPR-USD
Dropbox,Dropbox Inc.,DBX
Akerna,Akerna Inc.,KERN
Yelp,Yelp Inc.,YELP
Funding Circle,Funding Circle Inc.,FDCHF
OnDeck,OnDeck Inc.,
Sonos,Sonos Inc.,SONO
Intuit,Intuit Inc.,INTU
TrueCar,TrueCar Inc.,TRUE
Uber,Uber Inc.,UBER
Rubicon Project,Rubicon Project Inc.,
Cloudera,Cloudera Inc.,
Castlight Health,Castlight Health Inc.,
LiveTiles,LiveTiles Inc.,
TripAdvisor,TripAdvisor Inc.,LVTSF
CarGurus,CarGurus Inc.,CARG
GoPro,GoPro Inc.,GPRO
Domo,Domo Inc.,DOMO
Sage Therapeutics,Sage Therapeutics Inc.,SAGE
Maven,Maven Inc.,
Blackbaud,Blackbaud Inc.,BLKB
